question,correct_answer,option1,option2,option3,option4,difficulty,category,points
"In the Quran, what are the 'winners' promised?",Paradise/Jannah,Wealth,Fame,Power,Long life,easy,Quran,100
"What is the name of Wahab's team in Islamic context?",Companions of the Prophet,The Helpers,The Believers,The Righteous,The Faithful,medium,Quran,200
"In Quranic terminology, what does 'Batul' refer to?",Virgin/Pure one,Prayer,Fasting,Charity,Pilgrimage,medium,Quran,300
"Which letter represents a significant concept in Islamic teachings?",B (Bismillah),A,C,D,E,medium,Quran,400
"What does 'Paka' mean in Islamic context?",Pure/Clean,Impure,Mixed,Unclear,Doubtful,hard,Quran,500
"What does 'Al-Oosood' refer to?",The Lions,The Eagles,The Wolves,The Bears,The Tigers,hard,Quran,600
"In Quranic verses, what does 'Al-Oosood' symbolize in context of believers?",Strength and courage,Weakness,Fear,Doubt,Hesitation,hard,Quran,700
"What is the number of Surahs in the Quran?",114,100,120,110,105,easy,Seerah,100
"Which prophet is known as 'Al-Oosood' (The Lion)?",Prophet Muhammad (SAW),Prophet Ibrahim,Prophet Musa,Prophet Isa,Prophet Nuh,medium,Seerah,200
"What does 'Double Vision' refer to in Islamic teachings?",Seeing with both worldly and spiritual insight,Being confused,Having two opinions,Seeing twice,Being uncertain,hard,Seerah,300
"In Seerah, what does 'Al-Oossod' refer to?",The brave companions,The weak ones,The enemies,The doubters,The uncertain,medium,Seerah,400
"What does 'Paka' represent in Islamic cleanliness?",Ritual purity,Physical cleanliness only,Mental clarity,Spiritual awareness,Moral integrity,hard,Seerah,500
"Who were called 'winners' in early Islamic history?",The Muhajirun and Ansar,The Quraysh,The Romans,The Persians,The Byzantines,hard,Seerah,600
"What major event is associated with 'Al-Oosood' in Seerah?",The Battle of Badr,The Battle of Uhud,The Treaty of Hudaybiyyah,The Conquest of Mecca,The Battle of Khandaq,hard,Seerah,700
"In Islamic terminology, what does 'Paka' mean in context of Dua?",Sincere/Pure intention,Long prayer,Loud prayer,Group prayer,Silent prayer,easy,Dua And Dhikr,100
"What is 'Al-Oosood' in the context of Dua?",Persistence in supplication,Giving up,Being lazy,Forgetting,Delaying,medium,Dua And Dhikr,200
"What does 'Al-Oosood' represent in Dhikr?",Consistent remembrance of Allah,Occasional remembrance,Forgetfulness,Neglect,Laziness,medium,Dua And Dhikr,300
"What does 'Al-Oosoos' mean in context of accepted Duas?",Prayers answered by Allah,Rejected prayers,Delayed prayers,Forgotten prayers,Ignored prayers,hard,Dua And Dhikr,400
"In Dhikr, what does 'B' commonly stand for?",Bismillah (In the name of Allah),Beginning,Belief,Blessing,Bounty,hard,Dua And Dhikr,500
"What is the significance of 'Al-Oosood' in daily Adhkar?",Strength through consistent remembrance,Weakness in faith,Doubt in belief,Laziness in worship,Forgetfulness in prayer,hard,Dua And Dhikr,600
"What does 'Iris' symbolize in Islamic spirituality?",The eye of faith/spiritual vision,Physical sight,Blindness,Ignorance,Confusion,hard,Dua And Dhikr,700
"How many times is Salah prescribed daily?",5,3,2,7,4,easy,Salah,100
"What does 'Iris' refer to in context of Salah?",Focus and concentration in prayer,Distraction,Laziness,Forgetfulness,Haste,medium,Salah,200
"In Salah terminology, what does 'B' represent?",The second Rak'ah,The first Rak'ah,The third Rak'ah,The fourth Rak'ah,The final Rak'ah,medium,Salah,300
"What does 'Batul' mean in context of prayer?",Complete devotion/detachment from worldly matters,Partial attention,Distraction,Multitasking,Hurrying,hard,Salah,400
"In Salah, what does 'B' commonly represent?",The second position/Rak'ah,Standing,Bowing,Prostrating,Sitting,hard,Salah,500
"What is the meaning of 'Batul' in Islamic prayer context?",One who is devoted exclusively to worship,Casual worshipper,Occasional worshipper,Neglectful worshipper,Forgetful worshipper,hard,Salah,600
"What does 'Duble Vission' symbolize in maintaining Salah?",Balance between Dunya and Akhirah in prayer,Only focusing on worldly matters,Only focusing on Hereafter,Being confused,Being distracted,hard,Salah,700
"Who is known as 'Al-Oosood' among the prophets?",Prophet Muhammad (SAW),Prophet Ibrahim (AS),Prophet Musa (AS),Prophet Isa (AS),Prophet Yusuf (AS),easy,Prophets,100
"What letter 'B' is associated with which prophet's story?",Prophet Yusuf (Beauty),Prophet Musa,Prophet Ibrahim,Prophet Nuh,Prophet Dawud,medium,Prophets,200
"Which prophet is associated with 'Iris' (spiritual vision)?",Prophet Musa (AS),Prophet Ibrahim (AS),Prophet Muhammad (SAW),Prophet Isa (AS),Prophet Sulaiman (AS),medium,Prophets,300
"What does 'Wahab's team' refer to in Prophet's context?",The Prophet's companions,The enemies,The neutrals,The hypocrites,The disbelievers,hard,Prophets,400
"Which prophet is particularly associated with 'Iris' (insight)?",Prophet Yusuf (AS),Prophet Musa (AS),Prophet Ibrahim (AS),Prophet Nuh (AS),Prophet Isa (AS),hard,Prophets,500
"What does 'Iris' represent in the stories of prophets?",Divine vision and insight,Physical sight,Blindness,Ignorance,Confusion,hard,Prophets,600
"What quality of 'Iris' did prophets possess?",Spiritual insight and foresight,Physical strength,Material wealth,Political power,Military might,hard,Prophets,700
